Campaign,Ad Group,Final URL,Description,Headline 1,Headline 2
SEM_Instructors,Tamuno Alfred,https://www.datacamp.com/instructors/tammy3141,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Tamuno Alfred,Stand Out From the Crowd
SEM_Instructors,Tamuno Alfred,https://www.datacamp.com/instructors/tammy3141,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Tamuno Alfred,Tackle Complex Questions
SEM_Instructors,Claire Bowen,https://www.datacamp.com/instructors/clairemckaybowen,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Claire Bowen,Boost Your Data Science Career
SEM_Instructors,Claire Bowen,https://www.datacamp.com/instructors/clairemckaybowen,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Claire Bowen,Stand Out From the Crowd
SEM_Instructors,Claire Bowen,https://www.datacamp.com/instructors/clairemckaybowen,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Claire Bowen,Tackle Complex Questions
SEM_Instructors,Mark Peterson,https://www.datacamp.com/instructors/markepeterson01,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Mark Peterson,Boost Your Data Science Career
SEM_Instructors,Mark Peterson,https://www.datacamp.com/instructors/markepeterson01,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Mark Peterson,Stand Out From the Crowd
SEM_Instructors,Mark Peterson,https://www.datacamp.com/instructors/markepeterson01,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Mark Peterson,Tackle Complex Questions
SEM_Tracks,R Programming,https://www.datacamp.com/tracks/r-programming,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,R Programming,Boost Your Data Science Career
SEM_Tracks,R Programming,https://www.datacamp.com/tracks/r-programming,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",R Programming,Stand Out From the Crowd
SEM_Tracks,R Programming,https://www.datacamp.com/tracks/r-programming,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,R Programming,Tackle Complex Questions
SEM_Tracks,Importing Cleaning Data With R,https://www.datacamp.com/tracks/importing-cleaning-data-with-r,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Importing Cleaning Data With,R
SEM_Tracks,Importing Cleaning Data With R,https://www.datacamp.com/tracks/importing-cleaning-data-with-r,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Importing Cleaning Data With,R
